"terms","PA1","PA2"
"answer",0.0334228040610524,0.0201423895618576
"clearData",0.0473459002998545,0.0653336784296293
"clearRepresent",0.0739071626408936,0.062564423995798
"complex",0.0289339801659259,0.0376550344099558
"confid",0.0434330116615675,-0.0236036955001223
"confus",0.0585829370296696,0.0365663600469048
"crowd",-0.00211017886163266,0.123316384037567
"deciph",0.0513680630230074,-0.014583969558608
"distinguish",0.0108934202526125,0.0432697795951057
"distract",-0.0072889577780369,0.108995969524802
"effect",0.0609181783210447,0.00878211320036457
"find",0.0319440368591238,0.0565486117416797
"identifi",0.0653954335304522,0.00661139840979206
"inform",0.0598005879877242,0.0147895121398086
"lost",0.0616342780647642,-0.00598766731265648
"meanElem",0.0389115200483795,0.02523688629965
"meanOveral",0.0436282779430564,-0.0236692434137094
"messi",-0.015468293789041,0.267483561419072
"obvious",0.0645086448115547,-0.0295550828720725
"organiz",-0.0114750929599682,0.277489140989385
"read",0.044382925387888,0.0337319464770655
"readabl",0.0510109576394395,0.0725034117721082
"represent",0.0736076077926517,0.00519966148864312
"see",0.0213930916734281,0.0446326561891725
"simpl",0.0429941709396068,0.0688512216662983
"understandEasi",0.12028913522633,-0.079951452627162
"understandQuick",0.0609813450294956,-0.0570362517882995
"valu",0.0179488904368952,0.0412895290197638
"visibl",0.01313281811097,0.0363343317084916
