"terms","PA1","PA4","PA2","PA3"
"answer",-0.0285679205086026,0.172317353209961,0.0302525635944309,-0.0596034485561084
"clearData",0.050639671600294,0.0201677312251083,0.0523776460489704,0.0671137688375489
"clearRepresent",0.0678482941398145,0.0532613834557878,0.0472285524237035,0.0473984486479769
"complex",0.0848879033421835,-0.053954817477826,0.0432411697564754,0.0174914523179322
"confid",0.00290942482855018,0.104258417372483,-0.0291763662485147,0.00240600142946297
"confus",0.0886476036378665,0.00319367148566343,0.0449152939154031,-0.0117306499963786
"crowd",-0.00510309643933563,0.00767749991552186,0.141350252885071,-0.0012427468053216
"deciph",0.170045329576696,-0.0849447953919902,0.0133799858728449,-0.0684414723153184
"distinguish",-0.00927751127434785,0.0474118613957525,0.0452658849247591,0.018557682593105
"distract",-0.0112801107548685,0.0138438461917894,0.137139535890993,-0.0244278593119349
"effect",0.0168923718146255,0.104729226811588,-0.00670577511641152,0.0441323200605561
"find",-0.0220150830177079,0.113229228406924,0.0529708457863324,0.0566932179869126
"identifi",0.00892518687072669,0.131300151847344,-0.018045457554257,0.0359278866923914
"inform",0.0391859767960827,0.100144093270543,0.0314165611864177,-0.0387968171332794
"lost",0.0984249108755043,0.0016908830663597,0.0132135536261817,-0.0372091321222123
"meanElem",0.0122672201052258,0.0641783055577771,0.00235613027818277,0.0408874265633814
"meanOveral",0.00247524835258536,0.0903131497742923,-0.0556506900860579,0.0470827458099355
"messi",0.00815315294633752,-0.0394568173394732,0.319351766886918,0.0296991651767935
"obvious",0.0810849373305861,0.00929494187023193,-0.0495361453703818,0.0394230384462758
"organiz",-0.014872301885686,0.0311324173896917,0.293826039176788,0.00412187334990664
"read",0.0348738833246163,0.0534447123284778,0.0400202621433664,0.00914546432546744
"readabl",0.0249124990942528,0.0820969542729901,0.0705359557460315,0.00326587861962397
"represent",0.0390406434114025,0.112252383859843,0.00919860700728729,-0.0207199670389913
"see",0.00807369637861961,0.00678170551162025,0.0111336089161366,0.62464519965376
"simpl",0.10917361504555,-0.0559622497257794,0.0761198991195456,0.0187631723132847
"understandEasi",0.162003217832218,0.0251333953329045,-0.0873480065251932,0.00796019928466214
"understandQuick",0.102471211027774,-0.0204670525952858,-0.0832382842821213,0.00529358073186386
"valu",-0.0168801133682066,0.0662204706379559,0.00852096060773802,0.0499662252663824
"visibl",-0.00356395106049992,0.0254034103115671,-0.0134648600538165,0.183820259300383
