"terms","PA1"
"answer",0.783314049053409
"clearData",0.866262799128272
"clearRepresent",0.839214567114223
"complex",0.717483946669519
"confid",0.691298667359671
"confus",0.800374175017248
"crowd",0.621954810388308
"deciph",0.834269580460481
"distinguish",0.752641124716084
"distract",0.616548070251865
"effect",0.77705332546074
"find",0.80724360696925
"identifi",0.846472193419625
"inform",0.836132382293128
"lost",0.82935506692619
"meanElem",0.678857545167157
"meanOveral",0.565115038915007
"messi",0.747397232134136
"obvious",0.645468755233903
"organiz",0.707937344325893
"read",0.851840512105152
"readabl",0.829200004611234
"represent",0.701921230916672
"see",0.673723751892867
"simpl",0.851088748037668
"understandEasi",0.826909885625164
"understandQuick",0.77886304194195
"valu",0.585165223980328
"visibl",0.634142374932851
