"terms","PA1","PA2"
"answer",0.255608714496151,0.603201015652226
"clearData",0.808399346260507,0.0926152713374
"clearRepresent",0.677216827726322,0.204041508904033
"complex",0.625141989340224,0.124347997168268
"confid",-0.0706715690310173,0.861484289167195
"confus",0.641821386493714,0.198987633260197
"crowd",0.953271157202999,-0.334339071973917
"deciph",0.658979468050136,0.218271369502257
"distinguish",0.794495223901444,-0.019089647459748
"distract",0.542917741975513,0.100619169297416
"effect",0.603698764291916,0.214272484364496
"find",0.636655751908794,0.212193620494588
"identifi",0.608779748103366,0.286414691009127
"inform",0.692907310541136,0.183516651245028
"lost",0.588161951673374,0.28974774288226
"meanElem",0.0364786255072801,0.727391013889866
"meanOveral",-0.197345842682955,0.857310092022437
"messi",1.0076140812044,-0.252263956479103
"obvious",-0.152428354857433,0.900046812284349
"organiz",0.805956195845767,-0.0810635976232056
"read",0.733623145894266,0.157073155010019
"readabl",0.66968010685121,0.200930856144779
"represent",1.00597450253379e-05,0.794660256003663
"see",0.628341735682934,0.0718983424737147
"simpl",0.802626908915636,0.0818674498127448
"understandEasi",0.269040698331744,0.638023892899838
"understandQuick",0.317536549922317,0.529691843281834
"valu",0.233181690741997,0.40336129196067
"visibl",0.565120301984032,0.0960975379093945
