"terms","PA1","PA2","PA4","PA3"
"answer",0.0167766036859787,0.530799273739012,0.255984692834036,0.0972792071754471
"clearData",0.554463694833838,0.0609471976385838,0.27968753660975,0.0668726895428291
"clearRepresent",0.479689149500693,0.177453512957195,0.321552478173904,-0.0456052388895491
"complex",0.511987242045539,0.138606327100439,-0.116781079211796,0.252607449007295
"confid",-0.0649031967112938,0.846960927410744,0.0989212778331492,-0.0869209513943893
"confus",0.688607839284654,0.270073208346023,-0.203108097460701,0.1074528306375
"crowd",0.933496942330683,-0.284695934434064,0.102720688436754,-0.0935556601210718
"deciph",0.646662910795978,0.266861994030437,-0.0346695302040484,0.0271383150203366
"distinguish",0.401442433569585,-0.129098837791869,0.597908235227798,-0.0122405045239325
"distract",0.577127370695943,0.149231510323292,0.0771435134233764,-0.1406857138674
"effect",0.316970085807894,0.149428964565149,0.350352956804513,0.0603116248688319
"find",0.213204687078254,0.0972293894851815,0.49244714137219,0.124484597826244
"identifi",0.216114053866316,0.183328421452499,0.459565351752601,0.109832471687615
"inform",0.237470006748442,0.0610050010100451,0.502984015124164,0.159256611047859
"lost",0.530719775425576,0.317895160305061,-0.0353012128954865,0.095387592651582
"meanElem",-0.186198657577425,0.64422362803723,0.250967284123264,0.0879539096618217
"meanOveral",-0.0397516764321213,0.901719227798195,0.00925421241461322,-0.229543967661256
"messi",1.02258168214039,-0.196446579306194,0.121288726387233,-0.152167583477065
"obvious",-0.140863697145747,0.888452722309793,-0.0498821118849421,0.0482445000855054
"organiz",0.737594955958351,-0.0486350598318599,0.120571750619569,-0.0454179631690626
"read",0.508861473376006,0.132800513786907,0.213890749220357,0.0896662978120656
"readabl",0.301063709743925,0.117454372076659,0.301088529565784,0.220730269441608
"represent",0.0508787467645764,0.809334190392468,-0.0231460163552335,-0.0427474331885236
"see",-0.0511602876275807,-0.144735463802251,0.0931713240519968,0.91410771310393
"simpl",0.661601533894465,0.0981055822518349,-0.0960802281245607,0.268055149877538
"understandEasi",0.220541070142768,0.63916236247376,0.0377407361024804,0.0294976740843943
"understandQuick",0.295411823385222,0.551684335714593,-0.0857039330566702,0.103591407996923
"valu",-0.0530092212587989,0.311617832319365,0.409528564859734,0.0162250637220165
"visibl",-0.0470357528688189,-0.0895270058127184,0.0730573831203852,0.822755152562068
