"terms","PA1"
"answer",0.0439772868335277
"clearData",0.0812178021097803
"clearRepresent",0.0661250525044824
"complex",0.0250935292688012
"confid",0.033640606810613
"confus",0.0481062203354511
"crowd",0.0158457633128126
"deciph",0.0531133211181945
"distinguish",0.0313538021284929
"distract",0.0175016998309633
"effect",0.0485375460840768
"find",0.0506618847001307
"identifi",0.0653415778130783
"inform",0.0503060468221789
"lost",0.0574395890872781
"meanElem",0.0344104272713127
"meanOveral",0.0159227438116179
"messi",0.0495661545630788
"obvious",0.0328966129451771
"organiz",0.0251105548632547
"read",0.0592156150666508
"readabl",0.0551835730010133
"represent",0.0367368307656174
"see",0.022260023512307
"simpl",0.06561851719714
"understandEasi",0.0640087133328603
"understandQuick",0.0504611062751257
"valu",0.0216524790677486
"visibl",0.0307496762053128
