"terms","PA1","PA2"
"answer",0.00313530544043285,0.107215708708341
"clearData",0.111014110353542,0.00791837208313549
"clearRepresent",0.0688618471478547,0.0371177665256037
"complex",0.0284313876389969,0.00561328566453801
"confid",-0.0196662491694562,0.155735661245661
"confus",0.0513795636910716,0.0220426445835049
"crowd",0.0612009425116323,-0.0512028034175542
"deciph",0.0535662830669223,0.0333144786820284
"distinguish",0.0609862732486743,-0.0113748378241836
"distract",0.0176916069716675,0.00373079324871083
"effect",0.0431365750165835,0.0279691853795503
"find",0.0531246040044029,0.0272281233553541
"identifi",0.0620651765443259,0.0500076945463084
"inform",0.0630720977975238,0.016568825567776
"lost",0.051716854726849,0.0408991828423338
"meanElem",-0.000753414114088322,0.102199726443122
"meanOveral",-0.02472224523045,0.104974986202548
"messi",0.130084585567046,-0.0695974220587107
"obvious",-0.0168330796080897,0.155268959186303
"organiz",0.0423344317036397,-0.0116149064172031
"read",0.0751009829593822,0.0149409440110139
"readabl",0.0637048411759637,0.0290523921492087
"represent",-0.00911491282521653,0.126391244485929
"see",0.0332218164769778,-0.000329765796071986
"simpl",0.103602085114229,-0.00221230473575925
"understandEasi",0.0170446725994965,0.139019574836487
"understandQuick",0.0208272844622788,0.0764742574348617
"valu",0.0070248776893455,0.0349449554365305
"visibl",0.0396866078307767,0.00924892075845216
