"terms","PA1","PA2","PA4","PA3"
"answer",-0.0301218653495889,0.0962636292797769,0.0744361334797865,0.0295794479177423
"clearData",0.0932997812639143,0.00282203382572595,0.117197778004903,0.0119156925289962
"clearRepresent",0.0659061453625551,0.0313774834554467,0.115001988206977,-0.0271649068639846
"complex",0.0398400620554612,0.0137234177469531,-0.045125543034606,0.0534515851523403
"confid",-0.0229157815756879,0.150598598378997,0.040589682625901,-0.0191390679613816
"confus",0.118868135153954,0.0524109847554414,-0.118391846608607,0.059469161741877
"crowd",0.0875713636186295,-0.044380116639998,-0.0038822408387976,-0.0137155885467875
"deciph",0.0966984600386859,0.0527783439940169,-0.0626117573478989,0.0240196376473768
"distinguish",0.0305658881374637,-0.0386358143532572,0.202815679092217,-0.00496641563910259
"distract",0.0344624133068622,0.00956337044487847,-0.00334635262546006,-0.025891387027667
"effect",0.0193686988897136,0.0201070385375805,0.0987115182209952,0.00864067915251137
"find",0.00305986432008259,0.00761811588258877,0.188155912310231,0.0341912708390237
"identifi",0.0150158712693137,0.0335410670070257,0.190716749686668,0.0336076693980688
"inform",0.00913297247217686,-0.00623295947496575,0.218957743336872,0.0464330065027684
"lost",0.0790434001266351,0.056636742565729,-0.0542081531295924,0.0390078873947218
"meanElem",-0.0297952838565367,0.0957491430215551,0.056266703949794,0.0341127362899105
"meanOveral",-0.0113345892175786,0.117113082295352,-0.0018981912176721,-0.046102665965196
"messi",0.215754642735563,-0.0639003308131976,0.0220915981325088,-0.0843865871379471
"obvious",-0.0110151022215764,0.155296163230538,-0.0184544520437076,0.0234128148402056
"organiz",0.053293226824042,-0.00543420112381628,-0.00424123992240361,-0.00705693943157291
"read",0.0690627980101221,0.016431110535803,0.0458139595712638,0.0412998491928285
"readabl",0.0164848193380719,0.0136992406823747,0.116097971758014,0.083189779136571
"represent",-0.00263723553635209,0.132345987090053,-0.0131392798075223,0.00138944831987137
"see",-0.0114057963595381,-0.0178248006046804,0.0129275301428532,0.370848705344148
"simpl",0.162537422310597,0.0255785907242831,-0.149182141172379,0.156889720701982
"understandEasi",0.0368743598430902,0.146063418496175,-0.0261922518709177,0.0163460076492295
"understandQuick",0.0366976597663271,0.0926821920317292,-0.0530096989991856,0.0377044828570684
"valu",-0.01870504103451,0.0290740659579416,0.0777177456883005,0.0112991746434519
"visibl",-0.000902020010110879,-0.000337297984065707,0.0296372459284118,0.224834312579171
