seed,Status,Completed at,Time taken,Age,Gender,Highest education level completed,Language,Fluent languages
111887013140,APPROVED,2024-02-16T14:04:43.049000Z,1203.0,28,Man (including Trans Male/Trans Man),Technical/community college,Hungarian,"English, Hungarian"
208536731642,APPROVED,2024-02-16T13:25:37.754000Z,397.0,48,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),English,English
196789600940,APPROVED,2024-02-16T19:04:52.508000Z,251.0,38,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
76914364173,APPROVED,2024-02-16T16:47:51.189000Z,269.0,40,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,English
146493502296,APPROVED,2024-02-16T16:49:41.751000Z,388.0,24,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
168738633987,APPROVED,2024-02-16T19:12:31.191000Z,665.0,29,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Italian,"English, Italian"
183724893457,AWAITING REVIEW,2024-02-17T07:15:23.963000Z,1317.0,28,Man (including Trans Male/Trans Man),High school diploma/A-levels,Estonian,"English, Estonian"
22281211373,APPROVED,2024-02-16T15:41:43.859000Z,1171.0,26,Man (including Trans Male/Trans Man),Technical/community college,Japanese,English
28780447811,APPROVED,2024-02-16T17:58:49.217000Z,454.0,30,Non-binary (would like to give more detail),Graduate degree (MA/MSc/MPhil/other),Portuguese,"Portuguese, English, Spanish"
139003142740,APPROVED,2024-02-16T15:52:29.694000Z,379.0,36,Woman (including Trans Female/Trans Woman),Technical/community college,English,English
171592647071,APPROVED,2024-02-16T16:21:33.126000Z,515.0,26,Man (including Trans Male/Trans Man),High school diploma/A-levels,Greek,"English, Greek"
176175695192,APPROVED,2024-02-16T14:58:04.343000Z,302.0,33,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
34354881935,APPROVED,2024-02-16T15:00:23.295000Z,505.0,25,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Polish,"Polish, English"
186263859396,APPROVED,2024-02-16T18:46:48.893000Z,407.0,26,Woman (including Trans Female/Trans Woman),Technical/community college,English,English
98255852723,APPROVED,2024-02-16T17:09:27.122000Z,515.0,27,Man (including Trans Male/Trans Man),Technical/community college,English,English
80538377654,APPROVED,2024-02-17T05:27:52.150000Z,468.0,34,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,"English, Japanese"
5924677036,APPROVED,2024-02-16T18:56:50.603000Z,1014.0,26,Man (including Trans Male/Trans Man),Technical/community college,Polish,"English, Polish"
152783491792,APPROVED,2024-02-16T15:34:33.831000Z,718.0,35,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portuguese,"Portuguese, English"
173265755024,APPROVED,2024-02-16T14:58:56.118000Z,378.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
188113245774,APPROVED,2024-02-16T18:57:33.927000Z,853.0,27,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spanish,"English, Spanish"
319428096,APPROVED,2024-02-16T16:38:55.901000Z,606.0,49,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Italian,"English, Italian"
117506822593,APPROVED,2024-02-17T05:27:33.633000Z,454.0,27,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portuguese,"Spanish, Portuguese, English"
