seed,stimulus,answer,clearData,clearRepresent,complex,confid,confus,crowd,deciph,distinguish,distract,effect,find,identifi,inform,lost,meanElem,meanOveral,messi,obvious,organiz,read,readabl,represent,see,simpl,understandEasi,understandQuick,valu,visibl
137777602085,A,3,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,2
193567932475,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
118973339337,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
86267314457,A,3,3,3,3,3,-3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
93477562472,A,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,3,2,3,2,3,2,2,3
201127755044,A,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2
45887491398,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
60353252450,A,3,2,2,2,3,1,3,3,1,3,2,2,3,3,2,2,3,1,3,-1,2,2,2,0,2,2,2,0,1
79799962484,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
116965946435,A,3,1,1,3,3,3,3,2,1,2,2,1,2,2,3,2,3,2,3,1,2,2,3,2,3,3,3,-2,0
55025434593,A,3,3,3,1,3,3,2,2,3,3,3,1,2,2,2,3,3,1,3,3,3,3,3,3,3,3,2,3,2
101208791920,A,2,3,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,2
204734741825,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
19819810523,A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2
29915372063,A,1,2,2,3,2,3,3,3,2,3,1,1,2,1,3,3,3,2,3,2,2,3,3,1,3,3,3,2,1
17101637495,A,2,-1,2,1,3,1,-1,2,3,-1,1,3,2,2,3,3,3,-1,3,-1,1,3,3,3,0,2,1,3,3
192657298944,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
47955323967,A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
117365024222,A,2,1,3,3,2,3,1,2,1,3,1,3,2,3,3,3,3,1,3,2,3,3,2,3,2,1,3,2,2
1227857755,A,3,2,2,3,3,2,3,2,1,0,3,2,1,3,3,3,3,0,3,0,3,3,3,-1,3,3,3,3,-1
27816711723,A,3,3,3,2,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
17465994552,A,2,-1,1,2,2,-1,1,1,1,1,-2,1,1,2,1,2,2,-1,1,-2,1,1,2,2,-1,1,1,2,1
111174762461,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
167858983054,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16810178239,A,2,3,3,3,3,3,2,3,2,2,3,2,2,2,3,2,3,3,3,2,3,3,3,1,3,3,2,3,2
203753435654,A,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
159092327422,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
69695061315,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
189173227758,A,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2
81791713971,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
135576664050,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2
24144733539,A,-1,-1,-1,2,1,-1,-1,0,0,0,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,-1,-1,0,0,1,0
180852076660,A,3,3,3,1,3,3,2,2,2,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3
65823421158,A,3,1,1,1,2,2,2,1,3,2,1,2,1,1,2,2,3,2,2,2,2,2,2,3,1,2,2,3,3
109655216185,A,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1
166479096132,A,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9403483011,A,2,3,2,3,2,3,1,2,3,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2
197826573016,A,1,2,0,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,-1,2
212376311816,A,1,1,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,0,2,3,2,1,3,3,3,1,2
212361662253,A,2,3,2,3,3,3,2,1,2,3,3,3,3,2,3,3,3,3,3,0,2,2,3,3,2,3,3,-1,3
163115694224,A,2,-1,-1,2,3,3,-2,-1,2,-1,1,1,2,1,-1,2,3,-1,3,-1,2,3,3,2,2,2,1,1,1
50497839053,A,3,3,2,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3
163853012923,A,3,2,2,3,3,2,3,2,1,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2
213118204120,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
121637366713,A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
78390139544,A,2,3,3,2,2,3,3,3,2,2,2,2,2,2,3,3,1,1,3,1,2,3,2,0,2,2,2,3,0
74838384838,A,2,3,3,3,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,,3,3,3,2,
123060562283,A,2,2,3,1,3,2,2,2,2,2,2,2,1,2,3,2,2,3,1,2,2,2,3,1,2,3,3,3,2
177093050067,A,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2
65214082214,A,2,3,2,2,3,3,3,2,3,2,3,3,2,1,3,3,2,3,3,3,2,2,2,3,3,3,3,1,2
32590053431,A,1,1,2,1,1,2,-2,-1,1,3,1,2,1,1,-2,1,2,3,2,2,-2,-1,1,2,-2,1,1,1,3
11721579898,A,2,1,1,2,2,2,2,2,-1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,1,2,2,-1,1
208437135297,A,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2
4632266566,A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
202340289872,A,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,2,1,2,2,2,2,2
2144068223,A,3,3,2,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,1
100452763928,A,1,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,1,2,2,2,2,2,2,3,1,1
177873561053,A,3,2,2,2,3,2,3,2,3,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,2,3,3,2,2
157745235446,A,3,2,2,2,3,3,3,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,2,2
101592287524,A,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3
184469605056,A,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
187922268643,A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
